3000	7023628.9	271150.0
6000	2.33574793E7	532116.8
9000	5.20199999E7	927641.6
12000	1.022367041E8	1218587.4
15000	1.474032997E8	1552654.4
18000	2.224857625E8	1980020.7
21000	3.080252583E8	2401475.1
24000	3.521732375E8	2805408.4
27000	4.309890251E8	3289250.0
30000	5.112063793E8	3735408.3
33000	6.964486752E8	4204062.4
36000	8.579678668E8	4580658.4
39000	9.494285583E8	5049379.1
42000	1.0291334876E9	5585179.2
45000	1.1818168166E9	6074112.5
48000	1.4170393081E9	6528266.8
51000	1.6083296166E9	6970312.5
54000	1.7515236875E9	7597654.3
57000	1.8737259333E9	8065150.0
60000	2.2211960168E9	8441275.2
