10000	1391408.5	1161891.7
20000	2461758.3	2330991.7
30000	3508495.9	3677641.7
40000	4729221.0	5090862.5
50000	6265337.6	6756258.3
60000	7880787.4	8465495.8
70000	9212479.2	1.00780375E7
80000	1.10411168E7	1.15792834E7
90000	1.25021833E7	1.33248458E7
100000	1.38509084E7	1.52189083E7
110000	1.55253042E7	1.69312458E7
120000	1.71871999E7	1.87645041E7
130000	1.90726877E7	2.07663001E7
140000	2.11377082E7	2.26204E7
150000	2.23500916E7	2.45335749E7
160000	2.43565249E7	2.6605896E7
170000	2.66578458E7	2.84577206E7
180000	2.80170918E7	3.09947252E7
190000	3.0183279E7	3.27249334E7
200000	3.16943293E7	3.49893001E7
